Date,Open,High,Low,Close,Adj Close,Volume,Day
2/24/2017,129.419998,130.259995,129.380005,130.259995,124.16951,18624500,862
2/27/2017,130.020004,130.429993,129.800003,130.419998,124.322014,12008700,863
2/28/2017,130.389999,130.449997,129.660004,130.020004,123.940712,16598600,864
3/1/2017,130.850006,131.679993,130.600006,131.440002,125.294296,25813800,865
3/2/2017,131.410004,131.429993,130.619995,130.779999,124.665161,19951400,866
3/3/2017,130.690002,131.059998,130.339996,131.020004,124.893974,13722700,867
3/6/2017,130.589996,130.949997,130.210007,130.729996,124.617508,12026200,868
3/7/2017,130.470001,131.080002,130.279999,130.509995,124.407822,15500900,869
3/8/2017,130.589996,131.149994,130.460007,130.740005,124.627052,15776000,870
3/9/2017,130.710007,131.020004,130.139999,130.839996,124.722397,20855300,871
3/10/2017,131.440002,131.600006,130.820007,131.389999,125.246635,21922600,872
3/13/2017,131.339996,131.639999,131.270004,131.610001,125.456375,10731600,873
3/14/2017,131.309998,131.360001,130.759995,131.289993,125.151329,14019700,874
3/15/2017,131.559998,132.410004,131.139999,132.100006,125.923477,22709100,875
3/16/2017,132.350006,132.350006,131.710007,132.009995,125.837646,18457300,876
3/17/2017,131.899994,132.039993,131.619995,131.690002,125.793739,21234500,877
3/20/2017,131.649994,132.110001,131.460007,131.809998,125.908401,10105200,878
3/21/2017,132.309998,132.429993,129.729996,129.809998,123.997917,35841900,879
3/22/2017,129.850006,130.820007,129.679993,130.690002,124.838493,29177900,880
3/23/2017,130.520004,130.880005,130.139999,130.360001,124.52327,20311700,881
3/24/2017,130.779999,131.289993,130.130005,130.630005,124.781212,22967600,882
3/27/2017,129.699997,131.070007,129.399994,130.839996,124.981804,18472400,883
3/28/2017,130.839996,132.029999,130.550003,131.639999,125.745979,23721900,884
3/29/2017,131.729996,132.300003,131.589996,132.25,126.328659,13710000,885
3/30/2017,132.199997,132.610001,132.080002,132.470001,126.538803,16092400,886
3/31/2017,132.279999,132.740005,132.130005,132.380005,126.452827,19841400,887
4/3/2017,132.490005,132.809998,131.559998,132.300003,126.376427,23700300,888
4/4/2017,131.919998,132.529999,131.869995,132.509995,126.577019,13400000,889
4/5/2017,132.699997,133.479996,131.720001,131.970001,126.06118,32011200,890
4/6/2017,132.100006,132.389999,131.699997,132.039993,126.128067,18832200,891
4/7/2017,132,132.369995,131.5,131.970001,126.06118,16743100,892
4/10/2017,132.100006,132.570007,131.660004,132.020004,126.10894,15619300,893
4/11/2017,131.899994,132.100006,130.5,131.449997,125.564476,33778400,894
4/12/2017,131.429993,131.539993,130.779999,130.919998,125.058243,15955200,895
4/13/2017,130.740005,131.509995,130.380005,130.399994,124.561485,23683000,896
4/17/2017,130.770004,131.5,130.720001,131.479996,125.593124,13325500,897
4/18/2017,131.039993,131.660004,130.949997,131.279999,125.402084,12841100,898
4/19/2017,131.850006,132.289993,131.309998,131.490005,125.602699,17764800,899
4/20/2017,132.020004,132.880005,131.820007,132.589996,126.653435,21977900,900
4/21/2017,132.710007,132.759995,132.220001,132.559998,126.624771,22454900,901
4/24/2017,134.029999,134.289993,133.800003,134.160004,128.153168,22469900,902
4/25/2017,134.600006,135.369995,134.479996,135.130005,129.079727,19384400,903
4/26/2017,135.179993,135.509995,134.860001,134.940002,128.898193,25398500,904
4/27/2017,135.270004,135.75,135.190002,135.75,129.671951,16136500,905
4/28/2017,136.289993,136.339996,135.770004,135.990005,129.901169,22771900,906
5/1/2017,136.440002,137.380005,136.380005,137.199997,131.057007,24815500,907
5/2/2017,137.369995,137.490005,137.020004,137.429993,131.276733,18345100,908
5/3/2017,137.119995,137.169998,136.619995,136.990005,130.856415,23827600,909
5/4/2017,136.970001,137.429993,136.559998,137.039993,130.90419,14630100,910
5/5/2017,137.389999,137.539993,136.880005,137.539993,131.381821,19330700,911
5/8/2017,137.610001,137.839996,137.330002,137.839996,131.668335,13279900,912
5/9/2017,138.050003,138.630005,137.929993,138.320007,132.126877,28426100,913
5/10/2017,138.399994,138.449997,137.910004,138.399994,132.203308,20499400,914
5/11/2017,138.020004,138.330002,137.380005,138.289993,132.098206,27232100,915
5/12/2017,138.350006,138.630005,138.229996,138.600006,132.394348,19738600,916
5/15/2017,138.660004,139.119995,138.529999,139.039993,132.814621,20481300,917
5/16/2017,139.399994,139.639999,138.990005,139.619995,133.368683,21786000,918
5/17/2017,138.509995,138.770004,136.050003,136.070007,129.977631,55642200,919
5/18/2017,136.020004,137.720001,135.869995,137.259995,131.114319,41319900,920
5/19/2017,137.75,138.419998,137.660004,137.839996,131.668335,36730100,921
5/22/2017,138.149994,139.070007,138.100006,139,132.776428,19509700,922
5/23/2017,139.410004,139.419998,138.779999,139.139999,132.910172,19687500,923
5/24/2017,139.559998,139.850006,139.169998,139.779999,133.52153,15891900,924
5/25/2017,140.309998,141.330002,140.009995,140.970001,134.658264,23928600,925
